,komentarz,nie,tak,klasa
1020,kase jak tuliła to nie narzekała a teraz wielki zawód.......typowa idiotka,8,7,1
1021,Wycieraj se tylek kaczym kuprem prezia  a nie kodem pisowko kremlowski platny trolu,11,3,1
1022,"Karolina P. sama jest winna własnej sytuacji, bo jest po prostu głupia. Pokazała to w programie, pokazała na studiach, siedziała przede mną dwa lata w ławce eksponując tłuste du..sko w poszarzałych stringach. Tępa, brzydka, otyła. W sam raz na zmywak w Anglii i to w taniego sortu wietnamskich barze.",84,73,1
1023,A ja tobie współczuję głupoty i braku wiedzy w oskarżeniach . Jesteś pewny że to Polacy tak walą jadem  i pianę toczą ? naprawdę pewny ?  a może to polskojęzyczni obcy którym zalezy na niszczeniu wszystkiego co polskie ? Panuj nad oskarżeniami jak nie znasz nie wiesz kto i i co .,10,2,1
1024,podobno do niczego nie doszlo gosc jest gejem nawet mu nie stanął,6,0,1
1025,Pasztety zawsze są wesołe...,4,2,1
1026,ja bym sie wstydziła ze pochodze z olsztyna,19,2,1
1027,Właśnie udowodniłaś/udowodniłeś swoje racje. Przeczytałeś bardzo mądry i sensowny artykuł na bardzo ambitnym portalu internetowym. Nie ośmieszaj się ze swoim światopoglądem.,9,6,1
1028,"dziewczyna za ławo się zakochuje, bo ten kolo z big brothera jest nieciekawy, a mogła trochę dłużej zostać, bo i tak nic z tego nie wyszło. Z tym z Manchesteru też już się na pewno rozstała, bo była dlaniego dziewczyną na kilka nocy, a już jak widać na foto jest już starą babą i nikt jej nie weźmie.",7,6,1
1029,"Jak nie pamiętasz to po co piszesz, co za słownik. To Ty się PARKASZ...nieprawdopodobne...bo ja nie. Może się ciokasz?",3,1,1
1030,"za duże, wisielcze cycki",10,5,1
1031,"Prezes dostał maila od siedzącej 2 ławki wyżej Pawłowicz, że doszły ją wiatry prezesa i prosi o jeszcze",2,10,1
1032,"piter. Bachory nikczemne nasrały na nas w UE, stąd takie wysokie poparcie dla PiS. Nawet wrogowie PiSu się z Narodem solidaryzują. Nikczemna opozycja wezwała na pomoc UE, aby wrócić do rządzenia. To wygląda jak najazd na Czechosłowację w 1968r przez bratnie Narody Układu Warszawskiego. Bruksela niestety nie może militarnie obalić rządu PiSu, tak jak ZSRR to zrobił w 1968r. PO i Petru zostanie jedynie po tych ekscesach banicja, a PiSowi notowania wzrosną. Zostaną nominowani przez Naród na stanowiska zdrajców Narodu.",1,0,1
1033,Pękła guma twoim starym i słaby jest tego efekt.,8,6,1
1034,Kaczyński ty men*o!,2,1,1
1035,"no szkoda ,że nie pękł",0,5,1
1036,"szczujnia PO i MEDIOW dalej trwa...wstyd i hanba.., dalej robi sie Polakom wode z mozgu...nareszcie PIS zrobi porzadek i  oczysci  nas  z mafii peowskiej , zaklamanych sprzedajnych drani, z wscieklej kopaczki straszenia Polakow...martwie sie tylko ze  trudniej bedzie ze sprzedajnymi mediami zrobic porzadek , bo dalej nie moga sie pogodzic z przegrana PO",26,8,1
1037,ciekawe czy jarasowi zwieracze nie puściły jak tak się chichrał.  chyba kleksa w gaciach zaliczył ;-),0,4,1
1038,śmieje się z wieprzów co na niego głosowali!!!,1,7,1
1039,"pejsiak to nie czlowiek, to monstrum zawistne i wredne",0,0,1
1040,Śmieje się ze swojej głupoty wygląda jaj srający pies na pustyni.,1,0,1
1041,"Kto to jest ten Dębski. Naćpał się i on i ci co ten bubel tu wystawili ? Jesteście żałośni jak karpie przed wigilią. Żaden człowiek przy zdrowych zmysłach nie ocenia rządu, który dopiero zaczął pracować. A i tak już zrobił sto razy więcej dobrego niż patałachy , które okupowały państwowość polską przez poprzednie lata. !!! Takie artykuły świadczą o kompletnym braku kompetencji, zdrowego rozsądku i jakiejkolwiek przyzwoitości. Żenada.!
"" Cóż bowiem w zamian za socjalne obietnice otrzymaliśmy? Demolkę Trybunału Konstytucyjnego, służby specjalne pozbawione praktycznie kontroli parlamentu, ustawę pozwalającą na inwigilację nas przez internet, blitzkrieg na media."" - tylko położyć się ze śmiechu . Łgarstwo w czystej formie.",3,1,1
1042,"Ale brednie, daruj sobie, mózg Ci się przegrzał",0,1,1
1043,"Nadeszła pogoda dla jelopow , nie wymagajcie od nich logicznego myślenia. Teraz juz tak będzie przez jakiś czas - "" czym głupszy , tym mądrzejszy "" .",1,0,1
1044,"Kociuba,jak ciebie ma ""zjeść ""bezzębny moher.Przynajmniej ty się nie boisz i jakoś 
KATOLIBAN pozwala ci się antypisowsko rozwijać w pełnej krasie.Twórz dale swoje grafomańskie teksty.Gdybyś był po stronie Jarosława,twoja ""poezja""nie ujrzałaby światła dziennego-peo ma extra cenzurę i musi utrzymać""oświeceniowy""trend.",6,25,1
1045,39 procent oszołomów,1,0,1
1046,Po czym poznać glupiego? po śmiechu jego.,3,11,1
1047,"alod, ale z ciebie TŁUK !!!!",1,2,1
1048,Wsadzić im w d... koran i go podpalić.,52,29,1
1049,Dziennikarze mają przyszłość ale POpaprane szumowiny nie. Miło że szambo samo się opróżnia,1,0,1
1050,"taki stary, a taki głupi Wesli56, to rocznik 1956",4,2,1
1051,jeszcze troche a pekna zlodzieje i aferzysci z PO I psl i ty rtazem z nimi,0,2,1
1052,a ty zapewne jesteś wielki ale głupi - peowski pucybucie za  ochłapy z pańskiego stołu,3,2,1
1053,Ten rudy zdrajca powinien mieć zakaz wjazdu do Polski!!!!!,33,16,1
1054,"To prawda. Te sondaże dwa dni temu były odwrotne. Komuś się coś porypało w mózgu.Szkoda ,że PIS nie ma 95,6 %. hahahahahah .Białoruś hihihi",8,4,1
1055,Zobaczył gołego kota ? ;),132,260,1
1056,TUSK=ZDRAJCA,53,29,1
1057,"I ten prymitywny gość z manierami i poczuciem humoru kierowcy TIRa (bez urazy) ma prowadzić Polskę przez burzliwą Europę? On sobie nie potrafi  nawet usunąć włosów z nosa, nie mówiąc o dobraniu butów i krawata. Jedyne co mu dobrze wychodzi to brzuch ze spodni.",1,2,1
1058,ty najpierw  POpatrz w lustro i przypudruj świński ryj który nosisz,6,4,1
1059,"bay bay o pO wska tubo przerywaczko niedająca dojść do słowa  wielbicielko probagandy i kłamstwa po psl  teraz reszta pokraków kłamców do wywalenia jak to robili z nieprzychylnimi i niechcący kłamac dla po - psl dziennikarzami pare lat temu ,
z innej beczki gdzie kasa z mojej i tak małej emerutury z 2 filaru -i jeszcze nam jom zmiejszyli -jakos wtedy te dziennikarzyny cicho byli i nic żadnych protestów że zwykłych ludzi kolejny raz obrobili ....",2,1,1
1060,KaczoPISlandia ma 19% głosów Polaków uprawnionych do głosowania i sondaże  można powiesić na haku.,1,0,1
1061,"Brawo nawiedzony, trzymaj tak dalej, nie zapomnij o ks. Rydzyku, powieś sobie jego portret wraz z kaczorem nad swoim łóżeczkiem. Będą czuwali nad Tobą....",3,0,1
1062,"A to wszystko według ""fakt24""... A głuPOle się jarają. Oto POziom platformy.",1,0,1
1063,Natychmiast żydzi won z kraju polskiego,2,1,1
1064,"donek trybunał stanu, wiesz za co",11,2,1
1065,"Prawdziwi faszyści przydaliby się w Polsce, to by wówczas zagonili was nieroby do roboty, a nie do wylewania swych wymiocin na forach.",2,1,1
1066,"Z dumą przyjęłaś fakt, że ""poległaśâ w tak znakomitym gronie jak Tomek Sygut, Hanna Lis, Piotr Maślak, Karolina Lewicka i pewnie Kraśko, Oracz itd odpowiem krótko boś głupia jak kilo gwoździ i ślepo zapatrzona w ta bandę złodziei i oszustów z PO. I to tego brakuje odwagi żeby popatrzeć na siebie obiektywnie jak wam wszystkim.",1,0,1
1067,"po treści tekstu mozna wnosić, że autor zgłodu umiera bo tekst dowodzi braku kontaktu z mózgiem a wp robi z siebie caritas, ze to to drukuje",2,0,1
1068,Psychopata i Szaleniec JADosław zobaczył szczura smoleńskiego jak szybko ucieka do pałacu po akta i haki na wrogów sekty.,0,5,1
1069,"jak się nazywa śmiech człeka bez powodu ta ki głupkowaty, czyżby to nie śmiech paranoika",1,2,1
1070,Kolejna marionetka Napoleona Kaczyńskiego działa.,10,2,1
1071,"nokaut   Mam  pytanie  jacy  inni  budowali  przez  lata  ??  masz  na  myśli  poprzednie  rządy  a  raczej  PO !?czyżbyś  zapomniał  co  PO  przez  te  8  lat  zrobili ???   no wlasnie nic  nie  zrobili  cokolwiek  w  dobrym  kierunku. Niestety  PO  nic nie  zrobiło  a  głupi  TUSK  to  się  z  nas  Polaków  smiał,a zwłaszcza  tm  którzy  mu  ufali.  O to masz przyklad",4,5,1
1072,"rozwiązanie jest proste, oni żyją w średniowieczu więc średniowieczne metody należy zastosować, dla nich to będzie zrozumiałe choć w Europie zaraz odezwą się obrońcy praw człowieka. Mianowicie jak Słowian sprzedawano do krajów arabskich w IX i X w. (a była to praktyka nagminna, przynosząca dochody nawet ich własnym władcom) to ich kastrowano. Więc- kto chce zostać w Europie powinien być kastrowany. Ich prawo przewiduje dla kobiet śmierć, moja propozycja jest bardzo humanitarna.",1,38,1
1073,citko hoggato nie strasz bo się zesrasz,1,0,1
1074,"Szkoda ze nie pękł ze śmiechu, w koncu bysmy mieli spokoju....ale ile by smrodu bylo z tego szczura",1,4,1
1075,""" Z dumą przyjmuję fakt, że ""poległamâ w tak znakomitym gronie jak Tomek Sygut, Hanna Lis, Piotr Maślak, Karolina Lewicka i jeszcze kilku innymi świetnych dziennikarzy"" - kolejny nadęty jak rozdymka platfusiany nocnikarz?",12,8,1
1076,"Ależ mi się podoba taki sposób. Raz, dwa i Platfuskach. Tak załatwiając można czegos dokonać a nie tak się certolić z nieudacznikami nażartymi osmiorniczek. Ten robal chyba pouszkadzał im mózgi więc już nic by nowego nie wymyslili.",2,1,1
1077,Nie znoszę   ludzi którzy narzekają choć żyją jak pączki w maśle ... Wyp.........l,1,0,1
1078,"Sluchajcie no moski, piszedl ludek na wybory? Poszedl, wybral? Wybral, kto jie poszedl to niech siedzie teraz cicho a nie ujada jak burek  ze nie dostal kielbasy, przeciez nie wybrali takie cos dozywotnio, za 4 lata jest szansa by to zmienic jesli jest zle a teraz siedziec i patrzec by moc potem rozliczyc",3,2,1
1079,"Dębski to ksenofob lewacki, Dębski, ksenofobie lewacki, a jak PIS zrealizuje  to co powiedział, to  odszczekasz!!!!",5,3,1
1080,Jaka  szkoda że nie pękł. Polska by na tym zyskała.,2,10,1
1081,No tak ...kolejne jaja...kto jest szefem tego biura robiącego te badanie? Kaczor? Macierewicz czy inny Polak najlepszego sortu?Nie znam nikogo normalnego kto popierałby tych przestępców.,4,1,1
1082,"Nie taka mi obciągała,babajago.",1,0,1
1083,A MOŻE JEST W CIĄŻY POZAMACICZNEJ POPRZEZ INVITRO,5,4,1
1084,Strzelił bąka !!,4,8,1
1085,"To, ze jazgocze Kopaczowa, Bul, i cala ta banda POlszewikow.. to jeszcze zrozumiale,  oni chcieli dozywotnio miec Polske na wlasnosc, bo tak zapewniala Merkel I bogowie z UR..unia rozbojnikow, ale zdumiewa mnie jazgot Polakow. Czego wy ludziska chcecie? Nikt juz nie pamieta?, a to zaledwie kilka dni temu a w przypadku Bula kilka miesiecy.. Platforma we wlasnych rzadzeniu miala wszystkie sluzby, wlasny prezydent, wlasne senat, wlasny trybunal stanu, wlasny prezes NIK/ szubrawiec/ prokurauora, sady i Rada Polityki pienieznej z kupczacym BELKA, media. WSZYSCY WZAJMENIE SIE KORUMPOLWALI.. i jakos nikt juz tego nie pamieta i nikomu to nie przeszkadzalo, ze byl to istny FOLWARK ZWIERZECY.. Dlaczego sie tak jazgoczy byla wladza, bo sie boja. Prosze zauwazyc, pierwsza lepsza afere z Burym Janem.. ze ta sprawa strasznie sie flaczyla, cos tam, cos tam i prokuratura i ABW i CBA jakos nie mogli postawic mu zarzutow. Sejmowi przyjaciele nie pozbawili przestepce imunnitetu..i do kiedy to sie tak nijak ciagnelo do wyborow.. wszystkie sluzby czekaly na wynik wyborow...I jestem przekonana, ze gdyby PO i PSL wygraly nic by sie zlego jasiemu buremu nie stalo..tak jak i wszystkim innym skrumpowanym przestepcom / ciekwe co z nietykalnym kwiatkowskim/. Nagle  sluzby po wygranych wyborach PiS zaczely pracowac zgodnie z prawem i sprawiedliwoscia.. jaby sie przebudzily.. odpowiedz jest jedna.. byly naciskane przez rzad.. w jaki sposob .. wiadomo. Prosze posluchac co mowi matka wiceminister Moniki Zbrojewskiej.. ona nie zgadzala sie na ministerilne machloje.. byla przesladowana, nekana I tak wlasnie pracowal rzad tuskowo-kopaczowy. Ja osobiscie od PiS oczekuje tylko przywrocenia praworzadnego PANSTWA POLSKIEGO.. niczego wiecej.. jak bedzie dzialao sprawnie panstwo.. ludziom bedzie sie latwiej zylo. A krakajaca prase i medialnych krzykaczy nie czytam i nie slucham. Te wrzaski sa na poziomie domu wariatow!",2,4,1
1086,Tusk to zdrajca narodu polskiego na usługach Niemców powinien dostać w łeb za działanie na szkodę Polski i podrzeganie przeciwko naszemu Rządowi POCZEKAMY AŻ WRÓCISZ ZDRAJCO ZAPŁACISZ ZA TO,52,28,1
1087,na sybir z nią,2,1,1
1088,WP o mało się nie z....ra. Czy wasza głuPOta ma jakieś granice?,24,14,1
1089,"Panie Dbski niech pan nie szczuje bo zaczyna pan typową propagande w stylu minioneja bardzo bliskiej panu epoki,dlatego panskie wywody sa POprostu g...o warte wiec odwal sie czlowiekubraz na zawsze bo i tak nie POsiejesz zametu!!!!!!!!",4,2,1
1090,SZMATA ZNAJDZIE PRACE W JAKIMS NIEMIECKIM BURDELU,2,0,1
1091,"Aż śmierdzi tu hejterstwem PISowskim.... Zbiera mnie od tego smrodu i jak patrzę na komentarze półgłówków... Co, pewnie będę miał 3 tysiące minusów za ten komentarz czy w ogóle nie ujrzy światła dziennego...?",7,3,1
1092,"OCZYWISCIE  RZAD  POLSKI  I  POLITYCY  POPIERAJA DZIALANIA  ,,,PATRIOTOW  ZE  SWASTYKAMI  I  TRYZUBEM''' W  STOSUNKU  DO  ROSYJSKIEGO  OD  WIEKOW KRYMU,PAN  BOG  JEST  OD  WYBACZANIA  A  ROBCIE  TAK  DALEJ  PUTIN  WAS  WYSLE  DO  PANA  BOGA  A  PAN  BOG  WYSLE  WAS  I  TAK  DO  PIEKLA  --WY  NA  NIC  WIECEJ  NIE  ZASLUGUJECIE  TYLKO  NA  MEKI  PIEKIELNE",1,4,1
1093,"Tusk to jest zdrajaca Polski,jak sie znajdzie w Polsce to go aresztowac za zdrade i pozeganie przeciw Polsce!!!!!!!",10,3,1
1094,"musimy wyrzec sie naszych tradycji i obyczajow  zeby nie draznic ,nie prowokowac i nie ublizac islamistom ???? Qrva ! Z pelna swiadomoscia oswiadczam,ze kazdy napotkany imigrant (płci męskiej)  muzułmanin z syrii,maroko i innych jeb....nych dziór w północnej afryce dostanie ode mnie wpier.... !!! Koktajle Mołotowa mam juz przygotowane....",0,10,1
1095,"Lepiej, żeby nie pękł - jeszcze zostałby w ten sposób męczennikiem za sprawę...",138,264,1
1096,"trza było krytykować jak był tusk - klęcznik Merkel. Wiadomo, teraz w Europie rządzą Niemcy i jeżeli ktoś nie słuch ato dostanie po łapkach. 
wsadz sobie te debatę,  zajmij sielepiej swoimi babochłopami bo jeżeli napadają je muslimy to jest niedobrze.
Pani Premier proszę wnieść pod debatę w Brukseli kwestię bezpieczeństwa kobiet w Niemczech...",97,55,1
1097,CAŁA POLSKA Z WAS SIĘ ŚMIEJE KOMUCHY I POwskie ZŁODZIEJE- kto nie skacze ten ...........  .,7,6,1
1098,"człowieku, czy wy POwcy macie we krwi butę i arogancję? Większość ogromna Polaków chce słusznych zmian, które w tak trudnej atmosferze wprowadza rząd.I nie przyszło ci do głowy, że to ty i tobie podobni /na szczęście w wielkiej mniejszości/ nie macie racji?",3,2,1
1099,PEWNIE PIERWSZY RAZ CYCKI U KOBIETY ZOBACZYŁ BO GDYBY KROWA NOSIŁA BIUSTONOSZ TO NAWET TAKICH BY NIE WIDZIAŁ,0,2,1
1100,"Nie PiS, tylko PO. Czyli, jak w tym ruskim kawale: nie w Moskwie, tylko w Charkowie, nie samochody, a rowery i  ...nie dają, ale kradną. I co teraz powiesz Schulz? Dalej będziesz bronił europejskich wartości w R.P.? Bądź twardy! Tylko kaprawe oczka na lewo patrz! I nie zapomnij poklepać Tuska, koniecznie!",122,80,1
1101,Szanowny  człowieku mózg ci chyba dopalacze wypaliły.Zastanów się i nie rób chociaż ze siebie bezmózgowca.,3,2,1
1102,"zajęty krym , tam ludzie gosowali ty pismolu.",1,4,1
1103,"zero kultury , zero manier , smieje sie ze swojego elektoratu , ze tak latwo  bylo nabrac GLUPICH POLAKOW ! ten stary trep, msci sie na Polsce I POlakach , bo nienawiscia ZIONIE i TO JEST jego JEDYNE ""uczucie "" jakie posiada ! na jakie tego wrednego PASOZYTA , OSZUSTA I KLAMCE STAC ! 
   ale , jaki elektoracik , taki i ""rzad "", ---""""chcielista --to mata |""""!",3,3,1
1104,"hahah CBOS juz sie obawia, chodzili pewnie po kościołach:-)))), PIS i wzrost w sondażu, w to uwierzą tylko oni sami:-))), rydzyk i jego hołota:D",6,2,1
1105,Ale macie jadu w sobie nie oglądam was bo to w najgorszm wydaniu stacja a ja obcych nie lubiem tylko prawdziwych Polakow,2,0,1
1106,PO-wcy muszą mieć niezłą sr..czkę skoro sami sobie smarują takie artykuły,2,1,1
1107,a peło brało od tyłu....,1,2,1
1108,"dobre okreslenie z tym zlodziejem , tak wlasnie jest , ja tez tak odbieram Walese",1,0,1
1109,"Chory "" Antek "" już działa, bez tabletek . Ten człowiek zastał ukąszony przez węża nienawisci czyli diabła , może któryś z biskupów odprawi ekzorcyzm aby wypędzić szatana, bo jak nie to będzie kąsał i zarażał",83,42,1
1110,Islamiści to skurwysyny,0,26,1
1111,"@eg0n 
I 1 pln zaliczony za glupi wPIS. Jestem ciekaw czy wy pisowskie trole chociaz  tozumiecie co piszecie.?  Sadzac po waszych wypocinach jestascie tak glupi ze wierzycie nawet w zamach smolenski",17,14,1
1112,Pewnie przysiadł sobie hemoroidy.,2,2,1
1113,Unia Europejska łapy precz od Polski. Obniżenie retingu dla Polski to zasługa Tuska i Bieńkowskiej aby pogrążyć PiS. Bieńkowska do garów a Tusk do bawienia wnuków.,2,1,1
1114,rom to ty masz na imie FRAJEZE,6,2,1
1115,szczerek to po prostu prymitywny komuszek ktoremu bedzie brak kasy tuska czy skopanej na 1 metr babinie<chyba da dyla do kanady>,1,1,1
1116,"no i to się nazywa sondaż, a nie jakieś gawno",5,4,1
1117,"Czytając te komentarze dochodzę do wniosku, że dla Polski i Polaków nie warto o nic się starać ani o nic walczyć... Brzydzę się Wami , Wy prawomyślni, pisowscy Polacy!",2,0,1
1118,"nad-aktywność kundelków-heyterków PO:   pozwolę sobie przypomnieć LIST-DONOS do Angeli Merkel ""naszych"" ministrów SZ:  W. Bartoszewski, A. Olechowski, W. Cimoszewicz, D. Rotfeld) ws. wypowiedzi J. Kaczyńskiego, że ""wybór Angeli Merkel nie był przypadkowy"" ... Ciekawe, czy w/w nie napisaliby takiego DONOSU, gdyby Kaczyński napisał, że ... ""wybór BYŁ PRZYPADKOWY""!  Czyli: NIE CHODZIŁO O TO, CO KACZYŃSKI POWIEDZIAŁ ... SZCZYT WAZELINIARSTWA (w przypadku ""profesora"" Bartoszewskiego nie dziwił). A dzisiaj ""salon III RP"" oraz w/w (no, nie wszyscy)  mówią, że ""BRUDY NALEŻY PRAĆ W DOMU"" ... A wspomniany list-donos to niby miałaby być reklama Polski?  Pozwólcie, że w tym miejscu przypomnę przypadek agenta OLINA -- urzędujący premier J. Oleksy  oskarżony przez ministra prezydenta Wałęsy A. Milczanowskiego właśnie bawi na czele delegacji rządowej w Brukseli (wszyscy starają się unikać z nim kontaktu) -- TO DLA LEMINGÓW I LEWAKÓW BYŁA REKLAMA POLSKI?",2,5,1
1119,"Piep...e Lemingi, wodę z mózgu wam zrobili",57,40,1
1120,"I bardzo dobrze,że jest wreszcie taka ustawa ! Złodzieje, kłamcy, pomawiacze wreszcie będą pod kontrolą. Ludzie normalni będą spać spokojnie",2,1,1
1121,Czy naprawde przez tyle lat polacy są zmuszeni patrzec na tego smiesznego karła?,2,2,1
1122,Super .W euro zarabiam i inwestuje w Polsce. Kocham was Pis-ioki. Wiem ze i tak nie dojdziecie końca łamagi a przynajmniej chatę szybciej skończę.  Euro za 6zł. Proszę was PIS-io i przepraszam ze głosowałem na Petru bo on by tak euro nie wyczarował,1,4,1
1123,Śmiech bez powodu jest dowodem zaburzeń psychicznych.,31,31,1
1124,Ona piękna? małe NIC z dużym nosem i grubymi nogami,7,2,1
1125,"Ja myślę, że przyczyna była bardziej prozaiczna. Po prostu dziadek walnął pierdziocha.",2,5,1
1126,Sam głupiutki i durny człowieczek z malutkim rozumkiem o jeszcze mniejszym f......m,6,5,1
1127,30 lat pierdzenia w fotel to widać po tej gembie jak arbuz.,1,0,1
1128,Chcialabym zabaczyc ten tylek po tym jezu????????????Nie byloby do smiechu.,0,2,1
1129,"Pewnie przeczytał maila od .pierdu z prośbą o jakieś ciepłe gacie, bo mu się parówka i torba w lodówce z zimna kurczy i na zdjęciach w bikini niekorzystnie .pierdu wygląda.",1,0,1
1130,"Kto na Zachodzie uwierzy karierowiczom z PiS, ktorzy bez zadnej zenady klamia w zywe oczy. To tak samo, jak zdradzajacy maz  (gdy zdjecia pokazuja go nagiego w milosnym uscisku z obca kobieta) zapewniajacy o wiernosci i oczekujacy, by mu uwierzono. Takie publiczne pajacowanie PiS poza granicami kraju budzi niesmak i calkowity brak wiary w uslyszane slowa.",6,0,1
1131,Drex ogląda TV Trwam. Tam puszczają filmiki propagandowe przeplatane modlitwą. A w między czasie sączą nienawiść do wszystkich inaczej myślących. Hipnotyzują ludzi tą miszanką.,16,8,1
1132,"pseudointelektualny bełkot filozofa z Wirtualnej Polski. Pomieszanie pojęć i wysilanie się na zgrabne ""literackie "" zdania. Należy zapamiętać ten bełkot. To że elity oderwały się od społeczeństwa to wiadomo po obserwacji hołoty zarówno z PiS jak i z PO. Zepsucie kadr PO i brak kadr w PiS-ie stad sięganie po dziwaczne osobowości w rodzaju Ziobry czy faceta z Opus Dei niejakiego Gowina. Dziad rodem z dawnych epok Kaczyński ( żadnych prac naukowych) powinien odejść podobnie jak ładnie mówiący Donald.  Czas na nowe pokolenia..a swoja drogą sprawdzę jakie to szkoły skończył Ceyrowski.",16,6,1
1133,Dobrze że nie pękł narobiłby smrodu .,6,9,1
1134,"Lewicka to wyjątkowo nie profesjonalna dziennikarka . Nieobiektywna  , obłudna  i bezczelna  . Oby już nie wróciła do polskiej  telewizji czy radia .",1,0,1
1135,Rudy zdrajca ...,44,24,1
1136,GLIŃSKI NA ŚMIETNIK !,2,1,1
1137,Czy ten błazen ma za grosz wstydu,1,2,1
1138,Wielu członków polskiego rządu uważa go za największego wroga państwa. I ja też !!!,53,25,1
1139,"Panie Ceyrowski, najwieksza wada Polakow jest lekcewazenie wlasnych doswiadczen i nie wyciaganie z nich wnioskow na przyszlosc. Pan do tej grupy nalezy. Dobrze pamietam rzady PiS z lat 2005-07 i nie wierze w to, ze obecne rzady moga wygladac inaczej. Jaroslaw Kaczynski mial niebywala szanse pokazac, ze jest zupelnie innym czlowiekiem od tego zacofanego, zasciankowego, ksenofobicznego, intrygujacego, wiecznie insynuujacego oraz zadufanego w sobie Jaroslawa Kaczynskiego jaki funkcjonuje w swiadomosci znacznej czesci spoleczenstwa. Nie dosc, ze tego nie zrobil to jeszcze ten obraz utwierdzil. To, ze wraz z Ziobro i Kaminskim nie odpowiadal przed TK za dzialania niezgodne z prawem, zawdziecza Donaldowi Tuskowi, z ktorego robil morderce swojego brata i pozwalal na wyjatkowo ohydne szkalowanie go przez tak podlych ludzi ze swojego najblizszego otoczenia jak J. Kurski, Hofman i wielu innych. Dla mnie J. Kaczynski to czlowiek niegodny tego aby przyzwoici ludzie zadawali sie z nim w jakiejkolwiek formie.",10,17,1
1140,JAK TAKI CZŁOWIEK JAK TUSK MÓWI ŻE JEST POLAKIEM -BYŁ NIEMCEM Z DZIADA PRADZIADA I TO SIĘ NIE ZMIENI. NIECH ON LEPIEJ DO POLSKI NIE WRACA BO GO POLACY NA TACZCE WYWIOZĄ DO NIEMIEC!!!!!!! TO DZIĘKI JEGO RZĄDOWI POLSKA WPADŁA W TAKIE DŁUGI TO W JEGO RZĄDZIE BYŁO TYLE AFER.BĘDZIE LEPIEJ JAK ON NIE MÓWI ŻE JEST POLAKIEM BO POLACY MAJĄ JUŻ DOŚĆ WSTYDU PRZEZ JEGO RZĄD I JEGO.!!!!!,83,47,1
1141,wolałbym zobaczyć minę tego pana właśnie na tym jeżu...,7,7,1
1142,"Po czym poznać wyznawcę PiS? Wciąż te same puste frazesy - piszecie jak nakręceni. Kultura wypowiedzi na żenującym poziomie, obrzucacie wszystkich dookoła błotem. Za to prezes Kurski będzie bardzo obiektywny. Wyjdźcie w końcu z tej piaskownicy, bo sami sobie krzywdę zrobicie dzieciaki.",2,1,1
1143,jepac polskich faszystow jepac,2,0,1
1144,Dostał coś ogłupiającego oby tak dalej,2,2,1
1145,"Prezes zobaczył jak Bieńkowska ciągnie zbiorowo znaczącym parlamentarzystom w UE, żeby więcej krytykowali PiS i te rządy, bo jakoś przycichli.",4,6,1
1146,"Po trzech miesiacach rzadzenia chcesz spelnienia wszystkich obietnic, stary durniu?",8,7,1
1147,"Islam to nie religia, ale to jak chore moze byc spoleczenswo kierowne slepa wiara mozna zaobserwowac u wyznawcow PiS, przyznaje glosowanie na PO nie jest lepsza alternatywa, ale zamilowanie do PiSu to pierwsze oznaki klopotow ze zdrowiem psychicznym",1,0,1
1148,jds- zapytam o zdrowie?-cos nie tego ?-Troll nagina zasady?,4,13,1
1149,"Warszawa jest tak zapaskudzona żydo-bolszewią, TAM NIE MA pOLSKIEGO MYŚLENIA, że stolicę należy przenieść w inne miejsce...tylko w jakie ???",0,2,1
1150,Dlaczego do smoleńska nie lecieli większym samolotem? Problem dziś byśmy nie mieli to i miejsce dla braciszka i dudusia się znalazło,4,1,1
1151,Alez wysypalo sie tego pislamskiego hejtujacego bydla.. ble,9,5,1
1152,"Pewien ogier powiedział Konusowi, że ma większego ""zbója"" niż on. Konusa to rozbawiło i nie uwierzył.",1,6,1
1153,Trzeba sprawic by ta religia i jej wyznawcy znikli z historii i mapy swiata. Jest jedyna opcja.,6,619,1
1154,"to właśnie tam działa Tatarzyna, któremu polscy sługusy frau Merkel zwani dla niepoznaki PO dali na działalność bandycką 1 mln euro, wielbiciele szamba peowskiego jesteście dumni?",1,2,1
1155,I super. Jednej jędzy mniej!!!,2,1,1
1156,To człowiek tylko w połowie i to tej gorszej.,15,7,1
1157,W 4 literach to ty masz wacka proboszcza. A potem do paszczy i grand finale.,3,3,1
1158,Śmieje się ze swojej własnej głupoty i z głupoty suwerena.,2,9,1
1159,SZKODA ZE NIE PĘKŁ,1,5,1
1160,Klamliwy fiurerek.,7,6,1
1161,DO POzbawionych MÓZGÓW!!!-JESTEŚCIE ŚMIESZNI I ŻAŁOŚNI!,26,4,1
1162,Ten złóg Gomółkowski ziewał.,1,0,1
1163,Pytam się gdzie jest Tusek bo ani słowa nie odzywa się na beszczelne słowa niemcow pytam się gdzie on jest do h... a jak widzę bienkowska to mi się nóż w kieszeni rozkłada. ...,53,24,1
1164,"MLEKIEM I MIODEM PŁYNĄCY   KRAJ ZA CZASÓW  PO ???  TY   CZŁOWIEKU  JESTEŚ  UPOSLEDZONY  LUB  BARDZO ZŁYM  !!!

   JUZ  DZIEŃ PO WYBORACH  krzyczeliście  ,że prezydent i rząd  nie  spełnia obietnic !!!!     MAJĄ NA  TO  4  LATA !!",2,0,1
1165,WY K***WY ZPO TEŻ JESTEŚCIE LUDEM KONFIDENCI !!!!!!!,3,1,1
